Serial no,Country,Region,Total Area(sq Km),Population,Pop. Density (per 1sq. Km),Male per 100 female,Male Life expectency (years),Female Life expectency (years),GDP growth rate %,GDP Per Capita,HDI Tier,HDI index,HDI Growth,Gini coefficient,Unemployement rate %,Poverty percentage %,Active military personel,Paramilitary,Reserves forces,Total armed force size,Military spending,CO2 emission %,% of renewable energy in total energy consumption,
198,Vietnam,SE Asia,331212,98858950,315.411,97.6,70.12,79.42,2.6,3721,High,0.703,1.22,35.7,2.4,6.7,482000,5040000,5000000,10522000,5500000000,0.9,18.65,
131,North Korea,SE Asia,120538,26160821,217.2645,97.8,,,,654,not rated,,,,,,1280000,5889000,600000,7769000,1600000000,0.09,11.31,
167,South Korea,SE Asia,100210,51784059,530.5744,99.8,80.83,87.23,4,34940,Very High,0.925,0.74,31.4,3.9,,599000,3013500,3100000,6712500,44000000000,1.73,3.36,
78,India,SE Asia,3287590,1428627663,480.5033,106.7,70.52,73.65,8.9,2274,Medium,0.633,1.22,35.7,4.7,21.9,1455550,2526950,1155000,5137500,61000000000,6.71,32.93,
35,China,SE Asia,9706961,1425671352,151.2696,104.3,76.18,81.51,8.1,12437,High,0.768,1.5,38.5,5.2,0.6,2185000,660000,1170000,4015000,2.37E+11,32.48,14.45,
148,Russia,Eurasia,17098242,144444359,8.82,86.7,69.52,79.29,4.8,12259,Very High,0.829,0.24,37.5,5.6,12.6,1014000,554000,2000000,3568000,48000000000,4.66,3.22,
192,United States,North America,9372610,339996563,37.1686,98.2,77.27,82.23,5.7,69185,Very High,0.921,0.18,41.4,8.1,17.8,1388100,0,844950,2233050,7.50E+11,12.61,10.42,
23,Brazil,South America,8515767,216422446,25.8936,96.6,73.07,79.26,4.6,7507,High,0.754,0.69,53.4,13.7,26.5,366500,395000,1340000,2101500,27800000000,1.26,47.57,
176,Taiwan,SE Asia,36193,23923276,660.9188,98.2,,,,,,,,,,,163000,11800,1657000,1831800,10725000000,0.78,,
135,Pakistan,SE Asia,881912,240485658,311.9625,101.9,65.08,69.74,6,1480,Low,0.544,1,31.6,4.1,24.3,654000,291000,550000,1495000,11400000000,0.06,43.46,
49,Egypt,Northern Africa,1002450,112716598,113.2318,102.3,68.48,73.22,3.3,3898,High,0.731,0.79,31.5,7.8,32.5,438500,397000,479000,1314500,11200000000,0.75,5.3,
